Date,Open,High,Low,Close,Adj Close,Volume
2012-12-01,3.155000,3.204200,3.059400,3.076200,3.076200,0
2013-01-01,3.092700,3.172560,3.048300,3.091400,3.091400,0
2013-02-01,3.081100,3.200370,3.036600,3.157450,3.157450,0
2013-03-01,3.175080,3.280400,3.148900,3.256200,3.256200,0
2013-04-01,3.260420,3.282300,3.109900,3.157200,3.157200,0
2013-05-01,3.158600,3.308670,3.095900,3.278800,3.278800,0
2013-06-01,3.284300,3.346870,3.106300,3.312250,3.312250,0
2013-07-01,3.322570,3.383500,3.135500,3.185170,3.185170,0
2013-08-01,3.192100,3.239670,3.105700,3.228500,3.228500,0
2013-09-01,3.228500,3.284040,3.064500,3.126710,3.126710,0
2013-10-01,3.121670,3.126300,2.980800,3.046340,3.046340,0
2013-11-01,3.078770,3.153100,3.074500,3.092400,3.092400,0
2013-12-01,3.092400,3.105300,2.989200,3.000000,3.000000,0
2014-01-01,3.018630,3.157070,3.010670,3.115540,3.115540,0
2014-02-01,3.149800,3.158300,2.981600,3.033680,3.033680,0
2014-03-01,3.011300,3.072900,2.969900,3.028500,3.028500,0
2014-04-01,3.022670,3.044870,2.960200,3.032700,3.032700,0
2014-05-01,3.029870,3.065900,2.995000,3.038800,3.038800,0
2014-06-01,3.038800,3.074200,2.993500,3.040600,3.040600,0
2014-07-01,3.035010,3.122850,3.019400,3.099900,3.099900,0
2014-08-01,3.119030,3.216200,3.100900,3.202020,3.202020,0
2014-09-01,3.203720,3.321900,3.180800,3.291400,3.291400,0
2014-10-01,3.308340,3.374100,3.255500,3.338770,3.338770,0
2014-11-01,3.372000,3.420980,3.301300,3.351560,3.351560,0
2014-12-01,3.358100,3.609180,3.339100,3.514570,3.514570,0
2015-01-01,3.539220,3.794450,3.539220,3.706500,3.706500,0
2015-02-01,3.706500,3.739800,3.627200,3.702800,3.702800,0
2015-03-01,3.697900,3.965800,3.696900,3.774270,3.774270,0
2015-04-01,3.790620,3.820500,3.584100,3.603260,3.603260,0
2015-05-01,3.594870,3.825000,3.518700,3.776470,3.776470,0
2015-06-01,3.749810,3.814880,3.643750,3.736340,3.736340,0
2015-07-01,3.763420,3.854760,3.707390,3.783200,3.783200,0
